,Batsman,Runs,Result
9020,A Ashish Reddy,2,1
5301,A Ashish Reddy,3,0
6500,A Ashish Reddy,3,0
5651,A Ashish Reddy,4,1
5984,A Ashish Reddy,4,0
6450,A Ashish Reddy,5,1
8265,A Ashish Reddy,6,1
5770,A Ashish Reddy,7,1
6127,A Ashish Reddy,7,1
5408,A Ashish Reddy,8,0
5204,A Ashish Reddy,10,0
5612,A Ashish Reddy,10,1
7937,A Ashish Reddy,13,0
8751,A Ashish Reddy,13,0
5847,A Ashish Reddy,14,0
6276,A Ashish Reddy,14,0
7970,A Ashish Reddy,15,0
5940,A Ashish Reddy,16,1
8572,A Ashish Reddy,17,0
6066,A Ashish Reddy,19,1
8165,A Ashish Reddy,22,1
8703,A Ashish Reddy,32,0
6246,A Ashish Reddy,36,0
5605,A Chandila,0,0
6153,A Chandila,4,0
1490,A Chopra,1,0
1328,A Chopra,2,1
1696,A Chopra,2,1
1828,A Chopra,11,0
1432,A Chopra,13,1
1387,A Chopra,24,1
635,A Choudhary,4,0
16,A Choudhary,6,0
442,A Choudhary,15,0
10522,A Dananjaya,4,1
1895,A Flintoff,16,0
1843,A Flintoff,22,1
1790,A Flintoff,24,0
11071,A Hales,2,1
10963,A Hales,6,0
11023,A Hales,14,0
11147,A Hales,37,0
10810,A Hales,45,1
10929,A Hales,48,0
9865,A Joseph,15,1
1427,A Kumble,0,0
1855,A Kumble,1,0
1884,A Kumble,1,0
2119,A Kumble,1,1
2653,A Kumble,1,0
3002,A Kumble,1,0
3187,A Kumble,1,0
3447,A Kumble,1,0
3520,A Kumble,1,0
1614,A Kumble,2,1
3358,A Kumble,2,0
1275,A Kumble,3,0
1927,A Kumble,5,0
2322,A Kumble,7,0
1527,A Kumble,8,0
2021,A Mishra,0,0
2614,A Mishra,0,0
2883,A Mishra,0,0
3766,A Mishra,0,0
4005,A Mishra,0,1
4323,A Mishra,0,0
4772,A Mishra,0,0
7328,A Mishra,0,1
5080,A Mishra,1,0
5205,A Mishra,1,0
5987,A Mishra,1,0
8026,A Mishra,1,0
8301,A Mishra,1,0
9307,A Mishra,1,0
10727,A Mishra,1,0
1746,A Mishra,2,0
2389,A Mishra,2,1
3594,A Mishra,2,0
4124,A Mishra,2,0
8153,A Mishra,2,0
10354,A Mishra,2,0
2786,A Mishra,3,0
8672,A Mishra,3,0
522,A Mishra,4,0
1406,A Mishra,4,0
3249,A Mishra,4,0
3489,A Mishra,4,0
7022,A Mishra,4,0
7796,A Mishra,4,0
2810,A Mishra,6,0
