,Batsmen,Runs,Balls Faced,Strike Rate,Matches Played,Sixes,Fours,Triples,Doubles,Singles,Dismissals,Caught,Bowled,RunOut,LBW,50s,100s,150s,200s,Bp6,Bp4,Best,Wins,Wins Percentage
0,A Ashish Reddy,280,196,142.85714285714286,23,15,16,1,20,83,15,8,5,2,0,0,0,0,0,13.07,12.25,36,10,43.48
1,A Chandila,4,7,57.14285714285714,2,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0.0,0.0,4,0,0.0
2,A Chopra,53,75,70.66666666666667,6,0,7,0,2,21,6,2,0,1,1,0,0,0,0,0.0,10.71,24,4,66.67
3,A Choudhary,25,20,125.0,3,1,1,0,1,13,1,1,0,1,0,0,0,0,0,20.0,20.0,15,0,0.0
4,A Dananjaya,4,5,80.0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,4,1,100.0
5,A Flintoff,62,57,108.77192982456141,3,2,5,1,2,23,2,1,0,0,0,0,0,0,0,28.5,11.4,24,1,33.33
6,A Hales,152,119,127.73109243697478,6,6,13,0,10,44,6,3,2,0,1,0,0,0,0,19.83,9.15,48,2,33.33
7,A Joseph,15,13,115.38461538461537,1,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0.0,6.5,15,1,100.0
8,A Kumble,35,49,71.42857142857143,15,0,3,0,1,21,3,1,1,0,0,0,0,0,0,0.0,16.33,8,2,13.33
9,A Mishra,368,410,89.75609756097562,54,5,30,0,22,174,31,9,9,9,1,0,0,0,0,82.0,13.67,31,10,18.52
10,A Mithun,34,26,130.76923076923077,6,1,4,0,2,8,5,4,1,0,0,0,0,0,0,26.0,6.5,11,2,33.33
11,A Mukund,19,23,82.6086956521739,2,0,1,0,2,11,2,0,2,0,0,0,0,0,0,0.0,23.0,19,0,0.0
12,A Nehra,41,63,65.07936507936508,17,1,3,0,1,21,7,5,1,2,0,0,0,0,0,63.0,21.0,22,2,11.76
13,A Singh,2,10,20.0,5,0,0,0,0,2,4,0,2,0,0,0,0,0,0,0.0,0.0,1,0,0.0
14,A Symonds,974,781,124.71190781049937,36,41,74,4,66,288,27,14,7,3,0,5,1,0,0,19.05,10.55,117,18,50.0
15,A Turner,4,11,36.36363636363637,4,0,0,0,0,4,3,2,0,0,1,0,0,0,0,0.0,0.0,3,3,75.0
16,A Uniyal,4,7,57.14285714285714,2,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0.0,0.0,4,0,0.0
17,A Zampa,5,8,62.5,2,0,1,0,0,1,2,2,0,0,0,0,0,0,0,0.0,8.0,5,0,0.0
18,AA Bilakhia,69,88,78.4090909090909,7,0,5,0,9,31,5,2,0,0,2,0,0,0,0,0.0,17.6,22,3,42.86
19,AA Chavan,12,11,109.09090909090908,3,0,2,0,0,4,2,1,0,0,0,0,0,0,0,0.0,5.5,7,0,0.0
20,AA Jhunjhunwala,217,218,99.54128440366972,15,5,19,1,13,82,13,8,2,4,0,1,0,0,0,43.6,11.47,53,4,26.67
21,AA Noffke,9,12,75.0,1,0,1,0,0,5,1,0,0,1,0,0,0,0,0,0.0,12.0,9,0,0.0
22,AB Agarkar,179,160,111.87499999999999,18,5,13,0,15,67,10,6,0,1,0,0,0,0,0,32.0,12.31,39,2,11.11
23,AB Barath,42,43,97.67441860465115,3,1,5,0,1,14,2,1,0,0,1,0,0,0,0,43.0,8.6,33,2,66.67
24,AB Dinda,26,50,52.0,16,0,2,0,1,16,10,4,3,1,1,0,0,0,0,0.0,25.0,7,0,0.0
25,AB McDonald,123,103,119.41747572815532,9,4,9,1,9,42,5,3,1,0,0,0,0,0,0,25.75,11.44,33,4,44.44
26,AB de Villiers,4428,2977,148.7403426268055,142,214,357,15,220,1231,110,67,20,4,6,34,3,0,0,13.91,8.34,133,62,43.66
27,AC Blizzard,120,91,131.86813186813185,7,2,21,1,2,17,7,6,1,0,0,1,0,0,0,45.5,4.33,51,3,42.86
28,AC Gilchrist,2069,1555,133.05466237942122,80,92,239,4,66,417,76,53,12,2,4,11,2,0,0,16.9,6.51,109,36,45.0
29,AC Thomas,20,19,105.26315789473684,4,1,1,0,1,8,2,0,1,1,0,0,0,0,0,19.0,19.0,12,0,0.0
30,AC Voges,181,143,126.57342657342659,7,3,15,2,18,61,4,4,0,2,0,0,0,0,0,47.67,9.53,45,3,42.86
31,AD Mascarenhas,79,79,100.0,11,1,5,0,9,35,9,4,3,3,0,0,0,0,0,79.0,15.8,27,2,18.18
32,AD Mathews,724,599,120.86811352253757,41,29,44,3,49,267,31,20,4,4,2,1,0,0,0,20.66,13.61,65,11,26.83
33,AD Nath,91,99,91.91919191919192,10,2,7,0,5,41,10,8,1,0,1,0,0,0,0,49.5,14.14,24,3,30.0
34,AD Russell,1445,803,179.95018679950186,52,119,98,0,31,270,42,27,9,3,0,11,0,0,0,6.75,8.19,89,26,50.0
35,AF Milne,7,12,58.333333333333336,3,0,0,0,1,5,2,1,1,1,0,0,0,0,0,0.0,0.0,5,0,0.0
36,AG Murtaza,10,14,71.42857142857143,3,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0.0,14.0,5,0,0.0
37,AG Paunikar,49,61,80.32786885245902,5,0,9,0,2,9,5,3,1,0,0,0,0,0,0,0.0,6.78,20,2,40.0
38,AJ Finch,1744,1372,127.1137026239067,73,67,176,3,83,463,67,35,18,2,5,13,0,0,0,20.48,7.8,88,28,38.36
39,AJ Tye,94,72,130.55555555555557,12,4,7,1,6,27,8,4,2,0,1,0,0,0,0,18.0,10.29,25,6,50.0
40,AL Menaria,401,367,109.26430517711172,23,18,24,0,24,149,21,15,3,2,0,0,0,0,0,20.39,15.29,40,9,39.13
41,AM Nayar,672,588,114.28571428571428,50,20,55,1,47,230,38,21,4,9,5,0,0,0,0,29.4,10.69,45,15,30.0
42,AM Rahane,3850,3215,119.75116640746502,132,74,405,15,214,1308,116,71,18,8,11,27,2,0,0,43.45,7.94,108,67,50.76
43,AN Ahmed,36,27,133.33333333333331,6,1,4,0,3,8,1,0,1,0,0,0,0,0,0,27.0,6.75,18,2,33.33
44,AN Ghosh,7,8,87.5,2,0,1,0,1,1,2,2,0,0,0,0,0,0,0,0.0,8.0,7,0,0.0
45,AP Dole,34,23,147.82608695652172,2,1,3,0,4,8,2,2,0,0,0,0,0,0,0,23.0,7.67,30,1,50.0
46,AP Majumdar,87,77,112.98701298701299,4,2,7,0,7,33,4,1,1,0,0,0,0,0,0,38.5,11.0,31,0,0.0
47,AP Tare,339,285,118.94736842105263,27,11,40,1,19,72,24,17,4,2,0,1,0,0,0,25.91,7.12,59,11,40.74
48,AR Bawne,12,12,100.0,1,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0.0,12.0,12,0,0.0
49,AR Patel,806,655,123.05343511450381,62,35,47,1,46,313,42,24,7,7,2,0,0,0,0,18.71,13.94,44,21,33.87
50,AS Rajpoot,18,31,58.06451612903226,5,0,2,0,1,8,4,1,2,0,0,0,0,0,0,0.0,15.5,9,3,60.0
51,AS Raut,194,172,112.79069767441861,16,7,13,3,9,73,9,3,2,4,1,0,0,0,0,24.57,13.23,36,3,18.75
52,AS Yadav,1011,760,133.02631578947367,35,28,113,1,41,306,32,23,4,4,4,6,0,0,0,27.14,6.73,76,16,45.71
53,AT Rayudu,3326,2681,124.05818724356583,138,120,278,1,156,1179,115,67,19,12,4,19,1,0,0,22.34,9.64,100,76,55.07
54,AUK Pathan,39,26,150.0,7,2,5,0,2,3,5,2,2,0,1,0,0,0,0,13.0,5.2,14,3,42.86
55,Abdur Razzak,0,2,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
56,Anirudh Singh,63,69,91.30434782608695,4,1,6,0,5,23,4,2,1,0,0,0,0,0,0,69.0,11.5,40,1,25.0
57,Ankit Sharma,164,114,143.859649122807,16,9,11,0,9,48,10,10,0,0,0,0,0,0,0,12.67,10.36,47,1,6.25
58,Ankit Soni,7,9,77.77777777777779,3,1,0,0,0,1,2,0,2,0,0,0,0,0,0,9.0,0.0,7,0,0.0
59,Anureet Singh,37,47,78.72340425531915,8,1,2,0,0,23,4,3,1,0,0,0,0,0,0,47.0,23.5,15,1,12.5
60,Avesh Khan,4,3,133.33333333333331,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,4,0,0.0
61,Azhar Mahmood,388,311,124.7588424437299,21,13,39,0,19,116,19,9,2,3,3,2,0,0,0,23.92,7.97,80,11,52.38
