,Bowlers,Wickets,Balls Bowled,Overs Bowled,Strike Rate,Extras,Runs Conceded,Economy,Dots,Best
0,A Ashish Reddy,19,270,45,14.210526315789474,14,400,8.89,79.0,3/25
1,A Chandila,11,234,39,21.272727272727273,3,245,6.28,103.0,4/24
2,A Choudhary,5,108,18,21.6,7,144,8.0,42.0,2/28
3,A Dananjaya,0,25,4,0.0,1,48,12.0,6.0,0/25
4,A Flintoff,2,66,11,33.0,1,106,9.64,20.0,1/24
5,A Joseph,6,55,9,9.166666666666666,5,94,10.44,23.0,6/24
6,A Kumble,49,983,164,20.06122448979592,62,1089,6.64,374.0,5/26
7,A Mishra,165,3172,529,19.224242424242423,123,3850,7.28,1108.0,5/27
8,A Mithun,8,312,52,39.0,29,477,9.17,90.0,2/29
9,A Nehra,121,1974,329,16.31404958677686,115,2537,7.71,798.0,5/28
10,A Nel,1,18,3,18.0,0,31,10.33,7.0,1/18
11,A Roy,1,15,2,15.0,3,14,7.0,4.0,1/15
12,A Singh,34,551,92,16.205882352941178,49,769,8.36,204.0,4/28
13,A Symonds,23,540,90,23.47826086956522,38,694,7.71,190.0,3/26
14,A Uniyal,3,38,6,12.666666666666666,3,67,11.17,8.0,3/26
15,A Zampa,19,225,38,11.842105263157896,11,281,7.39,70.0,6/25
16,AA Chavan,8,255,42,31.875,21,339,8.07,100.0,2/25
17,AA Jhunjhunwala,1,88,15,88.0,4,130,8.67,27.0,1/18
18,AA Kazi,1,13,2,13.0,1,21,10.5,2.0,1/13
19,AA Noffke,1,25,4,25.0,6,41,10.25,6.0,1/25
20,AB Agarkar,33,820,137,24.848484848484848,62,1174,8.57,254.0,3/29
21,AB Dinda,82,1589,265,19.378048780487806,116,2103,7.94,627.0,4/27
22,AB McDonald,14,188,31,13.428571428571429,4,263,8.48,50.0,4/25
23,AC Gilchrist,1,1,0,1.0,0,0,,1.0,1/1
24,AC Thomas,16,327,54,20.4375,22,416,7.7,126.0,3/27
25,AC Voges,1,56,9,56.0,2,76,8.44,15.0,1/12
26,AD Mascarenhas,19,310,52,16.31578947368421,12,365,7.02,124.0,5/25
27,AD Mathews,28,807,134,28.821428571428573,41,1095,8.17,224.0,4/26
28,AD Russell,60,1072,179,17.866666666666667,66,1584,8.85,362.0,6/28
29,AF Milne,5,115,19,23.0,19,185,9.74,32.0,3/27
30,AG Murtaza,12,269,45,22.416666666666668,18,322,7.16,101.0,3/25
31,AJ Finch,1,44,7,44.0,1,67,9.57,13.0,1/13
32,AJ Tye,43,618,103,14.372093023255815,40,871,8.46,182.0,5/29
33,AL Menaria,3,113,19,37.666666666666664,4,144,7.58,40.0,2/24
34,AM Nayar,9,239,40,26.555555555555557,12,323,8.07,69.0,3/28
35,AM Rahane,1,6,1,6.0,0,5,5.0,2.0,1/6
36,AM Salvi,7,156,26,22.285714285714285,15,205,7.88,57.0,2/26
37,AN Ahmed,15,362,60,24.133333333333333,48,515,8.58,120.0,3/30
38,AP Dole,5,73,12,14.6,9,114,9.5,20.0,2/26
39,AR Patel,76,1745,291,22.960526315789473,81,2183,7.5,560.0,4/27
40,AS Rajpoot,22,452,75,20.545454545454547,52,665,8.87,161.0,5/26
41,AS Raut,0,30,5,0.0,1,45,9.0,6.0,0/6
42,AUK Pathan,0,41,7,0.0,6,63,9.0,9.0,0/21
43,Abdur Razzak,0,14,2,0.0,6,29,14.5,5.0,0/14
44,Anand Rajan,10,162,27,16.2,18,206,7.63,57.0,4/26
45,Ankit Sharma,13,388,65,29.846153846153847,18,475,7.31,138.0,2/26
46,Ankit Soni,4,112,19,28.0,4,145,7.63,37.0,2/25
47,Anureet Singh,21,430,72,20.476190476190474,35,636,8.83,139.0,3/26
48,Avesh Khan,5,160,27,32.0,6,264,9.78,61.0,2/25
49,Azhar Mahmood,31,552,92,17.806451612903224,26,707,7.68,199.0,3/26
50,B Akhil,7,193,32,27.571428571428573,11,246,7.69,60.0,2/25
51,B Chipli,0,6,1,0.0,0,20,20.0,1.0,0/6
52,B Geeves,2,49,8,24.5,1,91,11.38,15.0,1/25
53,B Kumar,141,2707,451,19.19858156028369,197,3264,7.24,1116.0,5/28
54,B Laughlin,10,179,30,17.9,13,293,9.77,42.0,2/27
55,B Lee,30,916,153,30.533333333333335,84,1126,7.36,374.0,3/30
56,B Stanlake,7,150,25,21.428571428571427,6,204,8.16,64.0,2/26
57,BA Bhatt,13,303,50,23.307692307692307,19,408,8.16,93.0,4/26
58,BA Stokes,29,615,102,21.20689655172414,55,867,8.5,207.0,3/27
59,BAW Mendis,9,248,41,27.555555555555557,11,306,7.46,76.0,2/29
60,BB Sran,20,516,86,25.8,49,786,9.14,168.0,3/28
61,BCJ Cutting,12,288,48,24.0,8,434,9.04,77.0,2/25
62,BE Hendricks,11,157,26,14.272727272727273,15,239,9.19,52.0,3/27
63,BJ Hodge,18,238,40,13.222222222222221,16,310,7.75,75.0,5/24
64,BJ Rohrer,0,7,1,0.0,1,12,12.0,1.0,0/7
65,BMAJ Mendis,1,30,5,30.0,0,36,7.2,11.0,1/18
66,BW Hilfenhaus,23,390,65,16.956521739130434,36,497,7.65,173.0,3/29
67,Basil Thampi,20,413,69,20.65,22,666,9.65,109.0,4/27
68,Bipul Sharma,22,436,73,19.818181818181817,24,581,7.96,131.0,2/26
69,C Ganapathy,0,6,1,0.0,0,13,13.0,1.0,0/6
70,C Munro,0,12,2,0.0,0,15,7.5,5.0,0/6
71,C Nanda,2,50,8,25.0,3,58,7.25,13.0,1/24
72,C de Grandhomme,7,230,38,32.857142857142854,22,338,8.89,58.0,3/26
73,CH Gayle,19,579,96,30.473684210526315,75,750,7.81,180.0,3/29
74,CH Morris,78,1335,222,17.115384615384617,101,1793,8.08,496.0,4/32
75,CJ Anderson,14,315,52,22.5,28,532,10.23,79.0,3/26
76,CJ Jordan,14,213,36,15.214285714285714,32,316,8.78,61.0,4/26
77,CJ McKay,1,42,7,42.0,0,60,8.57,14.0,1/24
78,CK Kapugedera,0,17,3,0.0,0,49,16.33,0.0,0/6
79,CK Langeveldt,13,165,28,12.692307692307692,21,199,7.11,69.0,3/27
80,CL White,1,46,8,46.0,5,86,10.75,8.0,1/12
81,CR Brathwaite,16,266,44,16.625,21,392,8.91,74.0,3/26
