,Bowlers,Runs Conceded,Wickets,Economy,Balls,Overs,Dots
0,A Ashish Reddy,169,11,9.657142857142857,105,17.5,27.0
1,A Chandila,6,0,6.0,6,1.0,1.0
2,A Choudhary,40,1,8.88888888888889,27,4.5,7.0
3,A Flintoff,59,1,14.75,24,4.0,3.0
4,A Joseph,14,4,7.0,12,2.0,5.0
5,A Kumble,217,18,7.482758620689655,174,29.0,58.0
6,A Mishra,780,41,9.24901185770751,506,84.33333333333333,158.0
7,A Mithun,155,5,10.941176470588236,85,14.166666666666666,23.0
8,A Nehra,794,63,8.725274725274724,546,91.0,160.0
9,A Nel,8,0,8.0,6,1.0,4.0
10,A Singh,298,19,10.217142857142857,175,29.166666666666668,50.0
11,A Symonds,147,6,10.376470588235295,85,14.166666666666666,22.0
12,A Uniyal,27,2,8.526315789473685,19,3.1666666666666665,3.0
13,A Zampa,67,10,8.553191489361703,47,7.833333333333333,19.0
14,AA Chavan,32,3,13.714285714285714,14,2.3333333333333335,4.0
15,AA Jhunjhunwala,2,0,12.0,1,0.16666666666666666,0.0
16,AA Noffke,11,1,5.5,12,2.0,5.0
17,AB Agarkar,311,9,9.769633507853403,191,31.833333333333332,40.0
18,AB Dinda,767,35,10.75233644859813,428,71.33333333333333,107.0
19,AB McDonald,51,4,10.2,30,5.0,9.0
20,AC Gilchrist,0,1,0.0,1,0.16666666666666666,1.0
21,AC Thomas,193,5,9.813559322033898,118,19.666666666666668,20.0
22,AC Voges,5,0,5.0,6,1.0,1.0
23,AD Mascarenhas,42,2,9.333333333333334,27,4.5,6.0
24,AD Mathews,225,10,8.70967741935484,155,25.833333333333332,38.0
25,AD Russell,437,22,10.53012048192771,249,41.5,66.0
26,AF Milne,50,4,8.108108108108107,37,6.166666666666667,13.0
27,AG Murtaza,54,0,12.959999999999999,25,4.166666666666667,3.0
28,AJ Finch,6,0,5.142857142857142,7,1.1666666666666667,4.0
29,AJ Tye,399,24,9.033962264150944,265,44.166666666666664,68.0
30,AL Menaria,48,0,13.714285714285714,21,3.5,4.0
31,AM Nayar,9,1,9.0,6,1.0,1.0
32,AM Salvi,46,2,8.903225806451612,31,5.166666666666667,4.0
33,AN Ahmed,177,9,10.411764705882353,102,17.0,24.0
34,AP Dole,22,1,10.153846153846155,13,2.1666666666666665,4.0
35,AR Patel,410,18,8.978102189781023,274,45.666666666666664,83.0
36,AS Rajpoot,139,8,10.831168831168831,77,12.833333333333334,14.0
37,AS Raut,13,0,6.5,12,2.0,3.0
38,AUK Pathan,28,0,11.2,15,2.5,4.0
39,Anand Rajan,80,7,10.90909090909091,44,7.333333333333333,13.0
40,Ankit Sharma,49,0,11.307692307692308,26,4.333333333333333,6.0
41,Ankit Soni,4,0,24.0,1,0.16666666666666666,0.0
42,Anureet Singh,243,10,10.642335766423358,137,22.833333333333332,35.0
43,Avesh Khan,38,1,9.12,25,4.166666666666667,7.0
44,Azhar Mahmood,339,18,9.504672897196262,214,35.666666666666664,56.0
45,B Akhil,93,2,10.941176470588236,51,8.5,12.0
46,B Geeves,10,0,10.0,6,1.0,3.0
47,B Kumar,1415,80,8.81619937694704,963,160.5,257.0
48,B Laughlin,145,5,11.153846153846153,78,13.0,18.0
49,B Lee,465,14,8.50609756097561,328,54.666666666666664,92.0
50,B Stanlake,11,0,11.0,6,1.0,1.0
51,BA Bhatt,98,2,9.046153846153846,65,10.833333333333334,15.0
52,BA Stokes,290,15,9.666666666666666,180,30.0,51.0
53,BAW Mendis,78,3,8.666666666666666,54,9.0,15.0
54,BB Sran,148,7,9.25,96,16.0,20.0
55,BCJ Cutting,150,3,11.538461538461538,78,13.0,14.0
56,BE Hendricks,80,8,8.571428571428571,56,9.333333333333334,20.0
57,BJ Hodge,23,3,7.666666666666667,18,3.0,7.0
58,BW Hilfenhaus,183,7,10.871287128712872,101,16.833333333333332,28.0
59,Basil Thampi,271,13,11.136986301369863,146,24.333333333333332,28.0
60,Bipul Sharma,86,1,14.333333333333334,36,6.0,8.0
61,C Nanda,8,0,6.857142857142857,7,1.1666666666666667,2.0
62,C de Grandhomme,31,0,13.285714285714285,14,2.3333333333333335,1.0
63,CH Gayle,229,9,8.807692307692308,156,26.0,46.0
64,CH Morris,726,45,8.591715976331361,507,84.5,133.0
65,CJ Anderson,207,7,12.545454545454545,99,16.5,19.0
66,CJ Jordan,134,5,11.32394366197183,71,11.833333333333334,15.0
67,CJ McKay,20,0,10.0,12,2.0,3.0
68,CK Kapugedera,15,0,15.0,6,1.0,0.0
69,CK Langeveldt,63,4,7.714285714285714,49,8.166666666666666,12.0
70,CR Brathwaite,97,7,10.210526315789474,57,9.5,17.0
71,CR Woakes,252,14,10.5,144,24.0,41.0
72,CRD Fernando,132,7,8.8,90,15.0,24.0
73,D Kalyankrishna,17,0,17.0,6,1.0,0.0
74,D Salunkhe,7,0,7.0,6,1.0,2.0
75,D Wiese,108,8,9.96923076923077,65,10.833333333333334,16.0
76,D Willey,32,1,10.105263157894738,19,3.1666666666666665,6.0
77,D du Preez,16,0,13.714285714285714,7,1.1666666666666667,0.0
78,DAJ Bracewell,10,2,10.0,6,1.0,2.0
