,Fielders,Catches,Run Outs
0,A Ashish Reddy,8,2
1,A Chandila,2,0
2,A Chopra,2,1
3,A Flintoff,3,0
4,A Hales,2,0
5,A Joseph,1,0
6,A Kumble,9,0
7,A Mishra,17,8
8,A Mithun,7,1
9,A Mukund,3,0
10,A Nehra,17,1
11,A Singh,1,0
12,A Symonds,20,1
13,AA Bilakhia,1,0
14,AA Chavan,3,0
15,AA Jhunjhunwala,10,4
16,AB Agarkar,4,3
17,AB Dinda,7,4
18,AB de Villiers,93,14
19,AB de Villiers (sub),2,0
20,AC Blizzard,4,0
21,AC Gilchrist,51,8
22,AC Thomas,3,1
23,AC Voges,1,3
24,AD Mascarenhas,2,0
25,AD Mathews,19,2
26,AD Nath,2,0
27,AD Russell,19,2
28,AF Milne,5,0
29,AG Murtaza,3,1
30,AG Paunikar,1,1
31,AJ Finch,25,3
32,AJ Tye,7,0
33,AL Menaria,4,0
34,AM Nayar,13,1
35,AM Rahane,54,8
36,AM Rahane (sub),2,0
37,AM Salvi,2,0
38,AN Ahmed,2,1
39,AN Ghosh,1,0
40,AP Dole,2,0
41,AP Tare,3,0
42,AR Patel,31,3
43,AR Patel (sub),1,0
44,AS Rajpoot,4,2
45,AS Raut,9,0
46,AS Raut (sub),1,1
47,AS Yadav,18,3
48,AT Rayudu,53,10
49,AUK Pathan,2,1
50,AV Wankhade (sub),1,0
51,Anand Rajan,3,1
52,Anirudh Singh,3,0
53,Ankit Sharma,6,0
54,Ankit Soni,1,0
55,Anureet Singh,5,1
56,Avesh Khan,4,0
57,Azhar Mahmood,7,0
58,B Akhil,3,1
59,B Aparajith (sub),1,0
60,B Chipli,3,0
61,B Chipli (sub),1,0
62,B Geeves,3,0
63,B Kumar,22,4
64,B Laughlin,1,0
65,B Lee,8,3
66,B Stanlake,1,0
67,B Sumanth,4,0
68,BA Stokes,14,1
69,BAW Mendis,1,0
70,BB McCullum,37,7
71,BB McCullum (sub),1,0
72,BB Samantray,3,1
73,BB Sran,4,2
74,BCJ Cutting,10,3
75,BE Hendricks,3,0
76,BJ Hodge,22,3
77,BJ Rohrer,3,2
78,BMAJ Mendis,2,1
79,BR Dunk,3,0
80,BR Dunk (sub),1,0
81,BW Hilfenhaus,1,0
82,Basil Thampi,4,1
83,Bipul Sharma,7,3
84,C Ingram,1,0
85,C Munro,4,0
86,C de Grandhomme,6,1
87,CA Lynn,10,0
88,CA Pujara,6,0
89,CH Gayle,26,0
90,CH Morris,26,2
91,CJ Anderson,11,0
92,CJ Ferguson,2,0
93,CJ Jordan,3,0
94,CJ Jordan (sub),1,1
95,CK Kapugedera,4,0
96,CL White,22,4
97,CM Gautam,3,0
98,CR Brathwaite,5,1
99,CR Brathwaite (sub),1,0
100,CR Woakes,6,1
101,CRD Fernando,2,0
102,D Kalyankrishna,1,0
103,D Salunkhe,2,0
104,D Short,2,0
105,D Wiese,5,0
106,D Willey,2,1
107,DA Miller,49,4
108,DA Miller (sub),2,0
109,DA Warner,54,8
110,DA Warner (sub),2,1
111,DAJ Bracewell,1,1
112,DB Das,7,2
113,DB Ravi Teja,11,2
114,DE Bollinger,6,1
115,DH Yagnik,12,2
116,DJ Bravo,66,12
117,DJ Harris,2,0
118,DJ Harris (sub),3,0
119,DJ Hooda,22,4
120,DJ Hussey,25,4
121,DJ Jacobs,3,0
122,DJ Thornely,2,0
123,DJG Sammy,9,0
124,DL Chahar,4,0
125,DL Vettori,11,1
126,DP Nannes,8,0
127,DPMD Jayawardene,33,6
128,DR Smith,41,2
129,DS Kulkarni,18,1
130,DT Christian,18,3
131,DT Christian (sub),1,0
132,DT Patil,2,0
133,DW Steyn,22,4
134,E Lewis,6,1
135,EJG Morgan,24,5
136,ER Dwivedi,2,0
137,F Behardien,1,0
138,F du Plessis,42,5
139,F du Plessis (sub),1,0
140,FY Fazal,6,0
141,FY Fazal (sub),1,0
142,G Gambhir,28,7
143,GB Hogg,4,1
144,GC Smith,7,0
145,GD McGrath,2,0
146,GH Vihari,6,2
147,GJ Bailey,11,5
148,GJ Bailey (sub),1,0
149,GJ Maxwell,26,5
150,Gurkeerat Singh,14,0
151,H Klaasen,3,0
152,H Viljoen,1,0
153,HH Gibbs,22,5
154,HH Pandya,43,5
155,HH Pandya (sub),1,0
156,HV Patel,10,3
157,Harbhajan Singh,38,8
158,Harmeet Singh,3,0
159,Harpreet Singh,2,0
160,I Sharma,16,2
161,IC Pandey,6,0
162,IK Pathan,28,6
163,IR Jaggi,2,0
164,Imran Tahir,11,0
165,Iqbal Abdulla,12,3
166,Ishan Kishan,16,1
167,J Archer,4,1
168,J Bairstow,9,0
169,J Botha,16,3
170,J Searles,4,0
171,J Suchith,7,1
172,J Suchith (sub),2,1
173,J Syed Mohammad,1,0
174,J Theron,1,2
175,J Yadav,4,0
176,J Yadav (sub),1,0
177,JA Morkel,17,4
178,JC Buttler,25,1
179,JD Ryder,10,0
180,JD Unadkat,19,5
181,JDP Oram,7,1
182,JEC Franklin,6,0
183,JH Kallis,30,3
184,JJ Bumrah,8,4
185,JJ Roy,5,0
186,JM Kemp,1,0
187,JO Holder,5,0
188,JP Duminy,28,4
189,JP Duminy (sub),1,0
190,JP Faulkner,16,5
191,JR Hopes,5,0
192,Joginder Sharma,5,1
193,K Goel,9,1
194,K Gowtham,10,1
195,K Paul,5,0
196,K Rabada,6,4
197,K Santokie,1,0
198,K Upadhyay,1,0
199,KA Pollard,76,9
200,KAJ Roach,1,0
201,KB Arun Karthik,11,0
202,KB Arun Karthik (sub),1,0
203,KC Cariappa,2,0
204,KC Sangakkara,45,4
205,KD Karthik,109,14
206,KH Pandya,17,1
207,KK Cooper,11,3
208,KK Nair,21,6
209,KL Rahul,29,3
210,KM Jadhav,27,1
211,KMDN Kulasekara,3,0
212,KP Appanna,1,3
213,KP Appanna (sub),2,0
214,KP Pietersen,12,2
215,KS Williamson,16,3
216,KV Sharma,12,3
217,KW Richardson,4,1
218,Kamran Akmal,5,0
219,Kamran Khan,4,1
220,Karanveer Singh,2,1
