,match_id,First Innings,Second Innings,First Innings Score,Second Innings Score,Winner,Batting wins,Bowling wins
0,1,Sunrisers Hyderabad,Royal Challengers Bangalore,207,172.0,Sunrisers Hyderabad,1,0
1,2,Mumbai Indians,Rising Pune Supergiant,184,187.0,Rising Pune Supergiant,0,1
2,3,Gujarat Lions,Kolkata Knight Riders,183,184.0,Kolkata Knight Riders,0,1
3,4,Rising Pune Supergiant,Kings XI Punjab,163,164.0,Kings XI Punjab,0,1
4,5,Royal Challengers Bangalore,Delhi Daredevils,157,142.0,Royal Challengers Bangalore,1,0
5,6,Gujarat Lions,Sunrisers Hyderabad,135,140.0,Sunrisers Hyderabad,0,1
6,7,Kolkata Knight Riders,Mumbai Indians,178,180.0,Mumbai Indians,0,1
7,8,Royal Challengers Bangalore,Kings XI Punjab,148,150.0,Kings XI Punjab,0,1
8,9,Delhi Daredevils,Rising Pune Supergiant,205,108.0,Delhi Daredevils,1,0
9,10,Sunrisers Hyderabad,Mumbai Indians,158,159.0,Mumbai Indians,0,1
10,11,Kings XI Punjab,Kolkata Knight Riders,170,171.0,Kolkata Knight Riders,0,1
11,12,Royal Challengers Bangalore,Mumbai Indians,142,145.0,Mumbai Indians,0,1
12,13,Rising Pune Supergiant,Gujarat Lions,171,172.0,Gujarat Lions,0,1
13,14,Kolkata Knight Riders,Sunrisers Hyderabad,172,155.0,Kolkata Knight Riders,1,0
14,15,Delhi Daredevils,Kings XI Punjab,188,137.0,Delhi Daredevils,1,0
15,16,Gujarat Lions,Mumbai Indians,176,177.0,Mumbai Indians,0,1
16,17,Rising Pune Supergiant,Royal Challengers Bangalore,161,134.0,Rising Pune Supergiant,1,0
17,18,Delhi Daredevils,Kolkata Knight Riders,168,169.0,Kolkata Knight Riders,0,1
18,19,Sunrisers Hyderabad,Kings XI Punjab,159,154.0,Sunrisers Hyderabad,1,0
19,20,Royal Challengers Bangalore,Gujarat Lions,213,192.0,Royal Challengers Bangalore,1,0
20,21,Sunrisers Hyderabad,Delhi Daredevils,191,176.0,Sunrisers Hyderabad,1,0
21,22,Kings XI Punjab,Mumbai Indians,198,199.0,Mumbai Indians,0,1
22,23,Kolkata Knight Riders,Gujarat Lions,187,188.0,Gujarat Lions,0,1
23,24,Mumbai Indians,Delhi Daredevils,142,128.0,Mumbai Indians,1,0
24,25,Sunrisers Hyderabad,Rising Pune Supergiant,176,179.0,Rising Pune Supergiant,0,1
