,Bowlers,Runs Conceded,Wickets,Economy,Balls,Overs,Dots
0,A Ashish Reddy,20,0,20.0,6,1.0,2.0
1,A Chandila,139,10,5.791666666666667,144,24.0,70.0
2,A Choudhary,46,3,7.459459459459459,37,6.166666666666667,18.0
3,A Dananjaya,12,0,12.0,6,1.0,2.0
4,A Flintoff,21,0,10.5,12,2.0,3.0
5,A Joseph,34,1,8.5,24,4.0,13.0
6,A Kumble,90,3,4.954128440366972,109,18.166666666666668,64.0
7,A Mishra,164,6,7.182481751824818,137,22.833333333333332,64.0
8,A Mithun,105,1,8.873239436619718,71,11.833333333333334,26.0
9,A Nehra,1387,45,7.358090185676392,1131,188.5,537.0
10,A Nel,12,1,12.0,6,1.0,2.0
11,A Singh,399,14,7.434782608695652,322,53.666666666666664,136.0
12,A Symonds,110,5,5.59322033898305,118,19.666666666666668,62.0
13,A Uniyal,22,1,10.153846153846155,13,2.1666666666666665,4.0
14,A Zampa,9,0,7.7142857142857135,7,1.1666666666666667,2.0
15,AA Chavan,164,3,6.604026845637584,149,24.833333333333332,72.0
16,AA Jhunjhunwala,47,0,8.8125,32,5.333333333333333,11.0
17,AA Noffke,23,0,19.71428571428571,7,1.1666666666666667,1.0
18,AB Agarkar,295,6,9.123711340206185,194,32.333333333333336,77.0
19,AB Dinda,1010,36,7.087719298245614,855,142.5,408.0
20,AB McDonald,64,3,8.930232558139535,43,7.166666666666667,14.0
21,AC Thomas,196,8,6.356756756756757,185,30.833333333333332,98.0
22,AC Voges,26,0,12.0,13,2.1666666666666665,5.0
23,AD Mascarenhas,206,12,7.357142857142857,168,28.0,80.0
24,AD Mathews,185,6,8.604651162790697,129,21.5,50.0
25,AD Russell,458,15,8.178571428571429,336,56.0,143.0
26,AF Milne,75,0,10.0,45,7.5,14.0
27,AG Murtaza,52,3,3.949367088607595,79,13.166666666666666,47.0
28,AJ Finch,3,0,3.0,6,1.0,4.0
29,AJ Tye,222,11,7.976047904191617,167,27.833333333333332,75.0
30,AL Menaria,55,1,6.6,50,8.333333333333334,21.0
31,AM Nayar,10,0,10.0,6,1.0,3.0
32,AM Salvi,79,1,7.074626865671642,67,11.166666666666666,30.0
33,AN Ahmed,187,3,7.846153846153847,143,23.833333333333332,63.0
34,AP Dole,62,2,10.62857142857143,35,5.833333333333333,10.0
35,AR Patel,344,6,7.908045977011494,261,43.5,97.0
36,AS Rajpoot,309,9,8.704225352112676,213,35.5,91.0
37,Anand Rajan,47,0,6.130434782608695,46,7.666666666666667,24.0
38,Ankit Sharma,152,6,6.2465753424657535,146,24.333333333333332,68.0
39,Ankit Soni,3,1,3.0,6,1.0,4.0
40,Anureet Singh,199,7,7.192771084337349,166,27.666666666666668,75.0
41,Avesh Khan,170,3,10.515463917525773,97,16.166666666666668,43.0
42,Azhar Mahmood,163,6,6.608108108108108,148,24.666666666666668,67.0
43,B Akhil,12,0,12.0,6,1.0,1.0
44,B Geeves,50,1,12.0,25,4.166666666666667,7.0
45,B Kumar,1445,51,6.041811846689896,1435,239.16666666666666,773.0
46,B Laughlin,63,3,10.216216216216216,37,6.166666666666667,9.0
47,B Lee,580,12,6.877470355731226,506,84.33333333333333,251.0
48,B Stanlake,114,2,7.685393258426966,89,14.833333333333334,41.0
49,BA Bhatt,116,4,7.175257731958762,97,16.166666666666668,41.0
50,BA Stokes,224,9,8.4,160,26.666666666666668,71.0
51,BAW Mendis,49,2,5.345454545454546,55,9.166666666666666,24.0
52,BB Sran,366,6,9.074380165289256,242,40.333333333333336,98.0
53,BCJ Cutting,68,0,9.272727272727273,44,7.333333333333333,10.0
54,BE Hendricks,108,1,10.125,64,10.666666666666666,21.0
55,BJ Hodge,56,0,9.08108108108108,37,6.166666666666667,15.0
56,BW Hilfenhaus,260,13,6.190476190476191,252,42.0,133.0
57,Basil Thampi,178,2,9.535714285714285,112,18.666666666666668,42.0
58,Bipul Sharma,77,5,6.16,75,12.5,37.0
59,C de Grandhomme,13,0,5.571428571428571,14,2.3333333333333335,7.0
60,CH Gayle,169,3,7.921875,128,21.333333333333332,50.0
61,CH Morris,673,19,7.706106870229008,524,87.33333333333333,254.0
62,CJ Anderson,121,2,9.81081081081081,74,12.333333333333334,31.0
63,CJ Jordan,86,2,9.735849056603772,53,8.833333333333334,18.0
64,CJ McKay,26,0,13.0,12,2.0,4.0
65,CK Langeveldt,99,6,6.6,90,15.0,47.0
66,CR Brathwaite,30,1,7.5,24,4.0,10.0
67,CR Woakes,215,3,10.15748031496063,127,21.166666666666668,44.0
68,CRD Fernando,90,7,6.585365853658537,82,13.666666666666666,39.0
69,D Wiese,64,6,6.095238095238095,63,10.5,30.0
70,D Willey,40,0,10.0,24,4.0,8.0
71,D du Preez,12,3,4.0,18,3.0,12.0
72,DAJ Bracewell,7,0,7.0,6,1.0,4.0
73,DE Bollinger,404,11,7.150442477876106,339,56.5,158.0
74,DJ Bravo,291,13,7.591304347826086,230,38.333333333333336,106.0
75,DJ Hooda,78,1,8.357142857142856,56,9.333333333333334,20.0
76,DJ Hussey,58,0,9.405405405405405,37,6.166666666666667,9.0
77,DJ Muthuswami,99,3,8.25,72,12.0,35.0
78,DJG Sammy,34,1,8.16,25,4.166666666666667,6.0
79,DL Chahar,747,26,7.609507640067911,589,98.16666666666667,285.0
80,DL Vettori,98,2,6.461538461538462,91,15.166666666666666,39.0
81,DNT Zoysa,45,0,7.297297297297297,37,6.166666666666667,15.0
82,DP Nannes,377,17,6.146739130434782,368,61.333333333333336,184.0
83,DP Vijaykumar,126,3,7.26923076923077,104,17.333333333333332,53.0
84,DR Smith,123,5,11.014925373134329,67,11.166666666666666,24.0
85,DS Kulkarni,1269,46,7.472031403336604,1019,169.83333333333334,487.0
86,DT Christian,241,8,7.691489361702128,188,31.333333333333332,79.0
87,DW Steyn,1169,36,6.08326105810928,1153,192.16666666666666,609.0
88,FH Edwards,61,4,4.463414634146342,82,13.666666666666666,50.0
89,GB Hogg,54,5,6.612244897959184,49,8.166666666666666,25.0
90,GD McGrath,218,9,5.787610619469027,226,37.666666666666664,127.0
91,GH Vihari,34,1,8.5,24,4.0,9.0
92,GJ Maxwell,123,2,10.852941176470587,68,11.333333333333334,23.0
93,GR Napier,3,0,3.0,6,1.0,3.0
94,GS Sandhu,7,0,7.0,6,1.0,3.0
95,Gagandeep Singh,7,0,7.0,6,1.0,3.0
96,Gurkeerat Singh,19,0,9.5,12,2.0,3.0
97,H Brar,24,0,12.0,12,2.0,2.0
98,H Gurney,70,2,6.0,70,11.666666666666666,28.0
99,H Viljoen,56,3,9.08108108108108,37,6.166666666666667,12.0
100,HH Pandya,257,5,9.69811320754717,159,26.5,60.0
101,HV Patel,346,10,8.614107883817429,241,40.166666666666664,89.0
102,Harbhajan Singh,900,32,7.152317880794702,755,125.83333333333333,363.0
103,Harmeet Singh,124,6,8.266666666666667,90,15.0,44.0
104,Harmeet Singh (2),23,0,10.615384615384617,13,2.1666666666666665,4.0
105,I Sharma,1490,44,7.117834394904459,1256,209.33333333333334,615.0
106,I Sodhi,17,2,8.5,12,2.0,8.0
107,IC Pandey,312,12,6.959107806691449,269,44.833333333333336,151.0
108,IK Pathan,1104,32,6.914405010438414,958,159.66666666666666,507.0
109,Imran Tahir,80,3,9.795918367346939,49,8.166666666666666,13.0
110,Iqbal Abdulla,293,15,6.2785714285714285,280,46.666666666666664,131.0
111,J Archer,218,7,6.707692307692308,195,32.5,108.0
112,J Behrendorff,127,3,9.525,80,13.333333333333334,37.0
113,J Botha,255,4,7.806122448979592,196,32.666666666666664,77.0
114,J Dala,18,0,15.428571428571427,7,1.1666666666666667,2.0
115,J Searles,14,0,12.0,7,1.1666666666666667,0.0
116,J Suchith,74,2,9.061224489795919,49,8.166666666666666,20.0
117,J Syed Mohammad,14,1,4.666666666666667,18,3.0,11.0
118,J Theron,93,1,8.71875,64,10.666666666666666,25.0
119,J Yadav,126,1,7.2,105,17.5,42.0
120,JA Morkel,1300,35,8.236536430834212,947,157.83333333333334,386.0
121,JD Ryder,7,0,7.0,6,1.0,3.0
122,JD Unadkat,671,21,7.56766917293233,532,88.66666666666667,224.0
123,JDP Oram,173,4,9.185840707964603,113,18.833333333333332,41.0
124,JDS Neesham,18,0,18.0,6,1.0,2.0
125,JE Taylor,51,0,6.0,51,8.5,23.0
126,JEC Franklin,20,1,10.0,12,2.0,2.0
127,JH Kallis,640,20,7.177570093457944,535,89.16666666666667,231.0
128,JJ Bumrah,648,14,6.715025906735751,579,96.5,271.0
129,JJ van der Wath,41,0,7.454545454545454,33,5.5,18.0
130,JO Holder,155,5,9.117647058823529,102,17.0,41.0
131,JP Duminy,207,3,7.481927710843373,166,27.666666666666668,69.0
132,JP Faulkner,474,15,7.665768194070081,371,61.833333333333336,154.0
133,JR Hopes,26,1,8.666666666666666,18,3.0,9.0
134,JW Hastings,50,1,7.6923076923076925,39,6.5,20.0
135,Jaskaran Singh,53,2,6.913043478260869,46,7.666666666666667,19.0
136,Joginder Sharma,48,0,10.285714285714285,28,4.666666666666667,11.0
137,K Ahmed,205,7,9.461538461538462,130,21.666666666666668,53.0
138,K Gowtham,281,8,8.144927536231885,207,34.5,78.0
139,K Khejroliya,38,0,12.666666666666666,18,3.0,5.0
140,K Paul,17,0,14.571428571428571,7,1.1666666666666667,2.0
141,K Rabada,251,8,8.366666666666667,180,30.0,71.0
142,K Santokie,31,1,9.299999999999999,20,3.3333333333333335,7.0
143,K Upadhyay,59,0,9.567567567567567,37,6.166666666666667,13.0
144,KA Pollard,61,1,9.384615384615385,39,6.5,12.0
145,KAJ Roach,20,0,6.315789473684211,19,3.1666666666666665,12.0
146,KC Cariappa,66,0,10.702702702702702,37,6.166666666666667,14.0
147,KH Pandya,236,8,7.572192513368984,187,31.166666666666668,81.0
148,KJ Abbott,73,0,9.954545454545455,44,7.333333333333333,13.0
149,KK Cooper,115,4,6.8999999999999995,100,16.666666666666668,43.0
150,KM Asif,38,3,8.76923076923077,26,4.333333333333333,15.0
151,KMDN Kulasekara,82,4,6.929577464788732,71,11.833333333333334,35.0
152,KP Appanna,28,0,8.4,20,3.3333333333333335,6.0
153,KP Pietersen,20,1,6.0,20,3.3333333333333335,12.0
154,KS Williamson,7,0,7.0,6,1.0,2.0
155,KV Sharma,191,7,7.1625,160,26.666666666666668,61.0
156,KW Richardson,186,10,6.682634730538923,167,27.833333333333332,84.0
157,Kamran Khan,118,5,8.428571428571429,84,14.0,40.0
158,Karanveer Singh,26,0,13.0,12,2.0,6.0
159,Kuldeep Yadav,74,0,7.655172413793104,58,9.666666666666666,18.0
160,L Ablish,26,1,13.0,12,2.0,3.0
161,L Balaji,538,16,6.853503184713376,471,78.5,229.0
162,L Ferguson,69,1,9.627906976744185,43,7.166666666666667,19.0
163,L Ngidi,93,6,6.131868131868132,91,15.166666666666666,50.0
164,L Plunkett,75,1,10.227272727272728,44,7.333333333333333,9.0
165,LA Carseldine,6,1,5.142857142857142,7,1.1666666666666667,4.0
166,LH Ferguson,51,1,9.0,34,5.666666666666667,14.0
167,LJ Wright,12,0,12.0,6,1.0,2.0
168,LR Shukla,51,0,11.333333333333334,27,4.5,7.0
169,M Ali,32,0,6.4,30,5.0,14.0
170,M Ashwin,42,0,12.0,21,3.5,7.0
171,M Kartik,214,8,6.978260869565217,184,30.666666666666668,85.0
172,M Morkel,1107,37,6.933194154488518,958,159.66666666666666,478.0
173,M Muralitharan,151,2,6.04,150,25.0,73.0
174,M Ntini,182,5,6.9113924050632916,158,26.333333333333332,80.0
175,M Santner,46,2,10.222222222222221,27,4.5,14.0
176,M Ur Rahman,161,5,7.790322580645161,124,20.666666666666668,51.0
177,M Vijay,8,0,6.857142857142857,7,1.1666666666666667,2.0
178,M de Lange,82,2,7.569230769230769,65,10.833333333333334,28.0
179,MA Starc,352,9,6.769230769230769,312,52.0,139.0
180,MB Parmar,14,0,12.0,7,1.1666666666666667,2.0
181,MC Henriques,256,8,8.533333333333333,180,30.0,71.0
182,MF Maharoof,212,11,7.2272727272727275,176,29.333333333333332,79.0
183,MG Johnson,830,26,7.626339969372129,653,108.83333333333333,303.0
184,MG Neser,18,0,18.0,6,1.0,1.0
185,MJ Henry,36,0,12.0,18,3.0,6.0
186,MJ McClenaghan,883,32,7.745614035087719,684,114.0,306.0
187,MM Patel,784,30,7.020895522388059,670,111.66666666666667,348.0
188,MM Sharma,1055,36,7.9224030037546935,799,133.16666666666666,360.0
189,MN Samuels,81,3,6.074999999999999,80,13.333333333333334,38.0
190,MP Stoinis,103,2,11.236363636363636,55,9.166666666666666,15.0
191,MR Marsh,118,4,9.567567567567567,74,12.333333333333334,33.0
192,MS Gony,722,18,8.578217821782177,505,84.16666666666667,215.0
193,Mashrafe Mortaza,26,0,12.0,13,2.1666666666666665,5.0
194,Mohammad Asif,147,3,9.382978723404255,94,15.666666666666666,39.0
195,Mohammad Nabi,134,7,6.090909090909091,132,22.0,62.0
196,Mohammed Shami,696,10,8.470588235294118,493,82.16666666666667,199.0
197,Mohammed Siraj,247,5,10.436619718309858,142,23.666666666666668,59.0
198,Mustafizur Rahman,155,6,6.038961038961038,154,25.666666666666668,70.0
199,N Rana,6,0,2.7692307692307696,13,2.1666666666666665,10.0
200,N Saini,210,3,8.873239436619718,142,23.666666666666668,70.0
201,NB Singh,18,1,4.319999999999999,25,4.166666666666667,13.0
202,ND Doshi,32,1,10.666666666666666,18,3.0,8.0
203,NJ Rimmington,14,0,7.0,12,2.0,6.0
204,NL McCullum,12,0,6.0,12,2.0,6.0
205,NLTC Perera,223,6,7.351648351648352,182,30.333333333333332,80.0
206,NM Coulter-Nile,349,12,6.910891089108911,303,50.5,150.0
207,O Thomas,64,2,10.378378378378377,37,6.166666666666667,11.0
208,P Amarnath,12,0,12.0,6,1.0,3.0
209,P Awana,363,14,7.891304347826087,276,46.0,123.0
210,P Krishna,283,2,8.707692307692307,195,32.5,80.0
211,P Kumar,1813,44,6.624847746650426,1642,273.6666666666667,812.0
212,P Negi,64,3,9.142857142857142,42,7.0,19.0
213,P Parameswaran,65,2,10.54054054054054,37,6.166666666666667,18.0
214,P Raj,34,0,15.692307692307693,13,2.1666666666666665,3.0
215,P Sahu,11,0,9.428571428571429,7,1.1666666666666667,2.0
216,P Suyal,93,1,8.584615384615384,65,10.833333333333334,25.0
217,PJ Cummins,209,6,9.428571428571429,133,22.166666666666668,48.0
218,PJ Sangwan,502,15,8.484507042253522,355,59.166666666666664,148.0
219,PM Sarvesh Kumar,8,0,6.857142857142857,7,1.1666666666666667,2.0
220,PP Chawla,442,16,7.5127478753541075,353,58.833333333333336,162.0
221,PP Ojha,324,7,8.0,243,40.5,103.0
222,PV Tambe,114,3,8.549999999999999,80,13.333333333333334,31.0
223,Pankaj Singh,195,8,7.548387096774194,155,25.833333333333332,72.0
224,Parvez Rasool,101,1,9.181818181818182,66,11.0,24.0
225,R Ashwin,891,37,6.349168646080759,842,140.33333333333334,378.0
226,R Bhatia,25,0,12.5,12,2.0,4.0
227,R Dhawan,102,2,7.6499999999999995,80,13.333333333333334,30.0
228,R McLaren,220,4,8.354430379746836,158,26.333333333333332,67.0
229,R Parag,10,1,10.0,6,1.0,1.0
230,R Rampaul,152,8,5.7,160,26.666666666666668,91.0
231,R Salam,19,0,8.142857142857142,14,2.3333333333333335,5.0
232,R Sharma,101,2,6.733333333333333,90,15.0,36.0
233,R Shukla,79,4,8.618181818181819,55,9.166666666666666,21.0
234,R Tewatia,15,0,7.5,12,2.0,5.0
235,R Vinay Kumar,910,33,7.155963302752293,763,127.16666666666667,349.0
236,RA Jadeja,188,6,8.233576642335766,137,22.833333333333332,55.0
237,RA Shaikh,11,0,11.0,6,1.0,1.0
238,RD Chahar,55,3,7.674418604651162,43,7.166666666666667,23.0
239,RE van der Merwe,60,4,9.473684210526317,38,6.333333333333333,15.0
240,RG More,15,0,15.0,6,1.0,0.0
241,RG Sharma,68,2,7.698113207547169,53,8.833333333333334,22.0
242,RJ Harris,480,14,6.414253897550112,449,74.83333333333333,236.0
243,RJ Peterson,10,0,5.0,12,2.0,6.0
244,RP Singh,1237,35,7.00188679245283,1060,176.66666666666666,518.0
245,RR Bhatkal,20,0,20.0,6,1.0,0.0
246,RR Bose,24,0,12.0,12,2.0,5.0
247,RR Powar,171,6,7.328571428571429,140,23.333333333333332,72.0
248,RR Raje,9,0,7.7142857142857135,7,1.1666666666666667,4.0
249,RW Price,14,0,14.0,6,1.0,0.0
250,Rashid Khan,160,7,7.384615384615384,130,21.666666666666668,59.0
251,S Aravind,543,21,7.3710407239819,442,73.66666666666667,187.0
252,S Badree,196,7,7.35,160,26.666666666666668,77.0
253,S Curran,101,1,9.934426229508198,61,10.166666666666666,20.0
254,S Dhawan,31,1,10.333333333333334,18,3.0,5.0
255,S Gopal,58,6,8.285714285714286,42,7.0,23.0
256,S Kaul,413,11,8.634146341463413,287,47.833333333333336,114.0
257,S Kaushik,41,0,12.947368421052632,19,3.1666666666666665,7.0
258,S Kuggeleijn,11,0,11.0,6,1.0,1.0
259,S Ladda,28,1,9.333333333333334,18,3.0,7.0
260,S Lamichhane,108,5,9.0,72,12.0,34.0
261,S Mavi,131,1,9.703703703703704,81,13.5,26.0
262,S Nadeem,370,9,7.985611510791366,278,46.333333333333336,102.0
263,S Narwal,106,4,9.217391304347826,69,11.5,27.0
264,S Randiv,21,0,9.0,14,2.3333333333333335,4.0
265,S Sharma,121,1,9.18987341772152,79,13.166666666666666,28.0
266,S Sreesanth,739,29,7.105769230769231,624,104.0,290.0
267,S Tyagi,234,5,8.068965517241379,174,29.0,77.0
268,S Warrier,68,2,7.418181818181819,55,9.166666666666666,27.0
269,SA Abbott,38,0,12.666666666666666,18,3.0,2.0
270,SA Yadav,8,0,8.0,6,1.0,2.0
271,SB Bangar,13,2,4.333333333333333,18,3.0,11.0
272,SB Jakati,139,1,8.597938144329897,97,16.166666666666668,36.0
273,SB Styris,45,1,6.0,45,7.5,18.0
274,SB Wagh,120,4,7.826086956521739,92,15.333333333333334,44.0
275,SC Ganguly,32,0,10.105263157894738,19,3.1666666666666665,6.0
276,SD Chitnis,13,0,11.142857142857142,7,1.1666666666666667,2.0
277,SE Bond,95,4,6.195652173913043,92,15.333333333333334,42.0
278,SJ Srivastava,211,5,8.915492957746478,142,23.666666666666668,54.0
279,SK Raina,83,2,7.545454545454546,66,11.0,22.0
280,SK Trivedi,198,7,8.735294117647058,136,22.666666666666668,60.0
281,SK Warne,59,1,9.567567567567567,37,6.166666666666667,11.0
282,SL Malinga,1217,40,6.27319587628866,1164,194.0,582.0
283,SM Boland,22,1,7.333333333333333,18,3.0,9.0
284,SM Harwood,7,1,2.210526315789474,19,3.1666666666666665,15.0
285,SM Pollock,213,9,6.14423076923077,208,34.666666666666664,105.0
286,SMSM Senanayake,111,4,5.162790697674419,129,21.5,56.0
287,SN Thakur,425,11,8.443708609271523,302,50.333333333333336,130.0
288,SP Narine,713,25,6.076704545454546,704,117.33333333333333,355.0
289,SR Watson,1017,35,6.997706422018348,872,145.33333333333334,417.0
290,SS Agarwal,11,0,11.0,6,1.0,1.0
291,SS Mundhe,6,1,5.142857142857142,7,1.1666666666666667,4.0
292,SS Sarkar,15,0,15.0,6,1.0,0.0
293,ST Jayasuriya,10,0,10.0,6,1.0,2.0
294,STR Binny,195,8,7.3125,160,26.666666666666668,66.0
295,SW Tait,304,7,6.8830188679245285,265,44.166666666666664,113.0
296,Sandeep Sharma,1115,44,6.854508196721312,976,162.66666666666666,488.0
297,Shahid Afridi,26,1,6.239999999999999,25,4.166666666666667,11.0
298,Shakib Al Hasan,492,17,7.569230769230769,390,65.0,174.0
299,Shoaib Ahmed,37,1,12.333333333333334,18,3.0,7.0
300,Shoaib Akhtar,54,5,7.0434782608695645,46,7.666666666666667,23.0
301,Sohail Tanvir,145,6,5.958904109589041,146,24.333333333333332,76.0
302,Sunny Gupta,12,0,12.0,6,1.0,0.0
303,T Curran,23,1,11.5,12,2.0,3.0
304,T Natarajan,33,0,7.919999999999999,25,4.166666666666667,12.0
305,T Thushara,60,3,5.714285714285714,63,10.5,30.0
306,TA Boult,515,9,7.518248175182482,411,68.5,191.0
307,TG Southee,687,14,7.988372093023256,516,86.0,221.0
308,TL Suman,6,0,6.0,6,1.0,1.0
309,TM Dilshan,62,0,8.454545454545455,44,7.333333333333333,12.0
310,TP Sudhindra,40,0,9.230769230769232,26,4.333333333333333,10.0
311,TS Mills,58,3,7.733333333333333,45,7.5,20.0
312,Tejas Baroka,8,0,8.0,6,1.0,4.0
313,UT Yadav,1412,46,7.687840290381126,1102,183.66666666666666,503.0
314,Umar Gul,42,5,6.0,42,7.0,20.0
315,V Chakravarthy,25,0,25.0,6,1.0,0.0
316,V Pratap Singh,140,3,8.399999999999999,100,16.666666666666668,40.0
317,V Sehwag,47,0,20.142857142857142,14,2.3333333333333335,1.0
318,VR Aaron,476,14,8.254335260115607,346,57.666666666666664,156.0
319,VRV Singh,136,1,10.074074074074074,81,13.5,32.0
320,VS Malik,157,4,7.246153846153846,130,21.666666666666668,60.0
321,VS Yeligati,13,0,13.0,6,1.0,1.0
322,VY Mahesh,149,4,10.902439024390244,82,13.666666666666666,30.0
323,WD Parnell,348,10,7.224913494809689,289,48.166666666666664,131.0
324,WPUJC Vaas,211,17,6.329999999999999,200,33.333333333333336,113.0
325,Washington Sundar,216,5,8.415584415584416,154,25.666666666666668,66.0
326,Y Nagar,10,0,10.0,6,1.0,2.0
327,Y Venugopal Rao,67,1,9.571428571428571,42,7.0,17.0
328,YA Abdulla,103,7,6.943820224719101,89,14.833333333333334,48.0
329,YK Pathan,402,15,6.554347826086956,368,61.333333333333336,165.0
330,YS Chahal,432,15,7.975384615384615,325,54.166666666666664,139.0
331,Z Khan,1492,58,6.6508172362555715,1346,224.33333333333334,637.0
