,bowler,player_dismissed
124540,A Ashish Reddy,DJG Sammy
130633,A Ashish Reddy,F du Plessis
93935,A Ashish Reddy,G Gambhir
81750,A Ashish Reddy,JEC Franklin
90942,A Ashish Reddy,LRPL Taylor
89009,A Ashish Reddy,M Muralitharan
84197,A Ashish Reddy,MA Agarwal
80502,A Ashish Reddy,MN Samuels
130634,A Ashish Reddy,MS Dhoni
84767,A Ashish Reddy,Mandeep Singh
84719,A Ashish Reddy,N Saini
89007,A Ashish Reddy,R Vinay Kumar
83084,A Ashish Reddy,RA Jadeja
80497,A Ashish Reddy,RV Uthappa
82253,A Ashish Reddy,RV Uthappa
138154,A Ashish Reddy,RV Uthappa
88987,A Ashish Reddy,V Kohli
91741,A Ashish Reddy,V Kohli
126002,A Ashish Reddy,Yuvraj Singh
86254,A Chandila,AP Majumdar
88247,A Chandila,CL White
86229,A Chandila,JD Ryder
97117,A Chandila,M Vijay
103230,A Chandila,Mandeep Singh
98466,A Chandila,NLTC Perera
98443,A Chandila,PA Reddy
95468,A Chandila,RT Ponting
86238,A Chandila,RV Uthappa
86230,A Chandila,SC Ganguly
95455,A Chandila,SR Tendulkar
11,A Choudhary,DA Warner
9714,A Choudhary,HM Amla
9820,A Choudhary,MM Sharma
8631,A Choudhary,PA Patel
10567,A Choudhary,SP Narine
28290,A Flintoff,LRPL Taylor
27470,A Flintoff,Z Khan
169394,A Joseph,B Kumar
169314,A Joseph,DA Warner
169385,A Joseph,DJ Hooda
169386,A Joseph,Rashid Khan
169397,A Joseph,S Kaul
169330,A Joseph,V Shankar
40765,A Kumble,A Symonds
52010,A Kumble,A Symonds
39089,A Kumble,AB McDonald
40712,A Kumble,AC Gilchrist
50642,A Kumble,AC Gilchrist
55011,A Kumble,AC Gilchrist
36415,A Kumble,AD Mathews
51282,A Kumble,BB McCullum
31026,A Kumble,BJ Hodge
49280,A Kumble,DA Warner
20532,A Kumble,DJ Hussey
55059,A Kumble,DR Smith
18686,A Kumble,HH Gibbs
54572,A Kumble,JP Duminy
53412,A Kumble,KA Pollard
29491,A Kumble,KC Sangakkara
32467,A Kumble,KC Sangakkara
24192,A Kumble,KD Karthik
27815,A Kumble,Kamran Khan
34585,A Kumble,LA Carseldine
43280,A Kumble,M Morkel
45272,A Kumble,M Vijay
43198,A Kumble,MJ Lumb
37120,A Kumble,ML Hayden
47695,A Kumble,ML Hayden
27807,A Kumble,MM Patel
43281,A Kumble,MM Patel
48310,A Kumble,MS Bisla
24861,A Kumble,PA Patel
55121,A Kumble,PP Ojha
27792,A Kumble,RA Jadeja
40223,A Kumble,RG Sharma
40812,A Kumble,RG Sharma
55119,A Kumble,RJ Harris
24891,A Kumble,S Badrinath
37137,A Kumble,S Badrinath
23374,A Kumble,SA Asnodkar
27805,A Kumble,SK Warne
43277,A Kumble,SK Warne
24887,A Kumble,SP Fleming
44148,A Kumble,SS Tiwary
40178,A Kumble,TL Suman
24181,A Kumble,TM Dilshan
31090,A Kumble,WP Saha
39124,A Kumble,Y Nagar
40816,A Kumble,Y Venugopal Rao
27791,A Kumble,YK Pathan
43246,A Kumble,YK Pathan
32414,A Kumble,Yuvraj Singh
158926,A Mishra,A Hales
49462,A Mishra,A Mithun
38746,A Mishra,A Singh
40446,A Mishra,A Symonds
54122,A Mishra,A Symonds
69068,A Mishra,A Symonds
2111,A Mishra,A Zampa
40412,A Mishra,AA Bilakhia
95323,A Mishra,AB Dinda
88946,A Mishra,AB de Villiers
40424,A Mishra,AC Gilchrist
59009,A Mishra,AC Gilchrist
47959,A Mishra,AC Voges
95319,A Mishra,AD Mathews
142470,A Mishra,AD Russell
77357,A Mishra,AL Menaria
90939,A Mishra,AM Nayar
77367,A Mishra,AM Rahane
107845,A Mishra,AM Rahane
109355,A Mishra,AM Rahane
38745,A Mishra,AS Raut
61429,A Mishra,AT Rayudu
74499,A Mishra,AT Rayudu
140274,A Mishra,AT Rayudu
84176,A Mishra,AUK Pathan
86544,A Mishra,Azhar Mahmood
95906,A Mishra,Azhar Mahmood
95321,A Mishra,B Kumar
109365,A Mishra,BJ Hodge
49366,A Mishra,CL White
4308,A Mishra,CR Woakes
137793,A Mishra,DA Miller
101426,A Mishra,DA Warner
23030,A Mishra,DB Ravi Teja
148307,A Mishra,DJ Hooda
100244,A Mishra,DR Smith
163456,A Mishra,E Lewis
56708,A Mishra,G Gambhir
107243,A Mishra,G Gambhir
21809,A Mishra,GC Smith
129887,A Mishra,GJ Bailey
3508,A Mishra,GJ Maxwell
